platform,vehicle_class,time_period,day_name,is_weekend,Distance(KM),price_mean,price_median,price_min,price_max,ride_count,discount_count
PickMe,Bike,Early Morning,Friday,False,1,150.74,150.74,150.68,150.77,14.0,0.0
PickMe,Bike,Early Morning,Friday,False,2,151.19,151.22,150.2,152.74,16.0,0.0
PickMe,Bike,Early Morning,Friday,False,3,188.95,188.82,184.12,190.59,16.0,0.0
PickMe,Bike,Early Morning,Friday,False,4,229.65,230.18,224.16,232.68,16.0,0.0
PickMe,Bike,Early Morning,Friday,False,5,278.15,279.02,261.66,281.31,16.0,0.0
PickMe,Bike,Early Morning,Friday,False,6,328.07,328.3,312.12,333.13,16.0,0.0
PickMe,Bike,Early Morning,Friday,False,7,386.01,387.23,360.55,392.09,16.0,0.0
PickMe,Bike,Early Morning,Friday,False,8,446.62,446.13,445.01,449.94,15.0,0.0
PickMe,Bike,Early Morning,Friday,False,9,499.56,500.83,472.62,506.85,16.0,0.0
PickMe,Bike,Early Morning,Friday,False,10,560.58,559.09,554.66,594.92,16.0,0.0
PickMe,Bike,Early Morning,Friday,False,11,623.95,625.04,595.63,632.2,16.0,0.0
PickMe,Bike,Early Morning,Friday,False,12,694.73,696.2,668.15,700.36,16.0,0.0
PickMe,Bike,Early Morning,Friday,False,13,761.37,763.86,727.16,765.4,16.0,0.0
PickMe,Bike,Early Morning,Friday,False,14,830.37,831.86,805.42,834.8,16.0,0.0
PickMe,Bike,Early Morning,Friday,False,15,856.23,899.16,561.22,903.02,16.0,0.0
PickMe,Bike,Early Morning,Friday,False,16,969.96,969.96,969.61,970.32,2.0,0.0
PickMe,Bike,Early Morning,Friday,False,17,1038.72,1038.72,1038.44,1038.99,2.0,0.0
PickMe,Bike,Early Morning,Friday,False,18,1105.76,1105.76,1103.03,1108.48,2.0,0.0
PickMe,Bike,Early Morning,Friday,False,19,726.8,726.8,278.21,1175.38,2.0,0.0
PickMe,Bike,Early Morning,Friday,False,20,1243.18,1243.18,1242.32,1244.04,2.0,0.0
PickMe,Bike,Early Morning,Saturday,True,1,300.84,150.72,150.69,901.36,10.0,0.0
PickMe,Bike,Early Morning,Saturday,True,2,151.54,151.43,151.18,152.28,10.0,0.0
PickMe,Bike,Early Morning,Saturday,True,3,189.19,189.08,188.12,190.5,10.0,0.0
PickMe,Bike,Early Morning,Saturday,True,4,230.29,230.14,228.86,232.08,10.0,0.0
PickMe,Bike,Early Morning,Saturday,True,5,278.53,278.54,276.73,280.21,10.0,0.0
PickMe,Bike,Early Morning,Saturday,True,6,329.47,328.77,327.22,332.94,10.0,0.0
PickMe,Bike,Early Morning,Saturday,True,7,387.82,387.63,384.36,391.95,10.0,0.0
PickMe,Bike,Early Morning,Saturday,True,8,445.97,445.11,444.71,449.78,10.0,0.0
PickMe,Bike,Early Morning,Saturday,True,9,502.14,501.5,499.43,506.54,10.0,0.0
PickMe,Bike,Early Morning,Saturday,True,10,558.32,558.78,554.63,562.07,10.0,0.0
PickMe,Bike,Early Morning,Saturday,True,11,626.08,625.4,622.75,631.92,10.0,0.0
PickMe,Bike,Early Morning,Saturday,True,12,696.99,696.51,695.12,700.08,10.0,0.0
PickMe,Bike,Early Morning,Saturday,True,13,763.02,763.14,760.36,765.25,10.0,0.0
PickMe,Bike,Early Morning,Saturday,True,14,832.21,832.2,830.28,834.38,10.0,0.0
PickMe,Bike,Early Morning,Saturday,True,15,899.64,899.95,896.76,902.46,10.0,0.0
PickMe,Bike,Early Morning,Saturday,True,16,969.46,969.46,969.14,969.77,2.0,0.0
PickMe,Bike,Early Morning,Saturday,True,17,1038.19,1038.19,1038.04,1038.34,2.0,0.0
PickMe,Bike,Early Morning,Saturday,True,18,1105.16,1105.16,1102.26,1108.06,2.0,0.0
PickMe,Bike,Early Morning,Saturday,True,19,1175.47,1175.47,1174.74,1176.2,2.0,0.0
PickMe,Bike,Early Morning,Saturday,True,20,1242.38,1242.38,1241.54,1243.22,2.0,0.0
PickMe,Bike,Early Morning,Sunday,True,1,150.72,150.72,150.7,150.72,8.0,0.0
PickMe,Bike,Early Morning,Sunday,True,2,151.39,151.2,151.18,151.99,8.0,0.0
