Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Nawaloka Medical Mount Lavinia,Western Union 359 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-28,10:01:18,154.81,0,N/Surge,591.59,No Discount,no surge,289.99,0,N/Surge,733.97,No Discount,no surge,406.93,0,N/Surge,757.76,No Discount,no surge,632.91,0,N/Surge,"1,177.08",No Discount,no surge,,0,N/Surge,505.94,605.94,no surge,,0,N/Surge,"1,000.89",No Discount,no surge,503.01,0,N/Surge,,No Discount,no surge
2,Nawaloka Medical Mount Lavinia,Singer Mega - Ratmalana 435 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-28,10:02:30,155.36,0,N/Surge,155.00,184.00,no surge,290.67,0,N/Surge,300.00,329.00,no surge,410.93,0,N/Surge,352.50,No Discount,no surge,644.32,0,N/Surge,583.97,No Discount,no surge,,0,N/Surge,151.20,216.00,no surge,,0,N/Surge,330.00,No Discount,no surge,509.1,0,N/Surge,,No Discount,no surge
3,Nawaloka Medical Mount Lavinia,Industrial Estate - Golumadama Junction Rathmalana Moratuwa,2026-04-28,10:03:43,196.51,0,N/Surge,196.55,232.26,no surge,291.35,0,N/Surge,300.00,329.00,no surge,414.99,0,N/Surge,367.24,No Discount,no surge,655.9,0,N/Surge,583.97,No Discount,no surge,,0,N/Surge,161.44,230.63,no surge,,0,N/Surge,371.46,No Discount,no surge,515.27,0,N/Surge,,No Discount,no surge
4,Nawaloka Medical Mount Lavinia,W.M.J Fernando & Co (Pvt) Ltd No:576 Galle Rd Moratuwa 10400,2026-04-28,10:04:55,242.17,0,N/Surge,240.80,263.38,no surge,319.39,0,N/Surge,322.80,354.08,no surge,480.33,0,N/Surge,421.53,No Discount,no surge,762.41,0,N/Surge,583.97,No Discount,no surge,,0,N/Surge,188.31,269.02,no surge,,0,N/Surge,474.89,No Discount,no surge,548.67,0,N/Surge,,No Discount,no surge
5,Nawaloka Medical Mount Lavinia,Puwakaramba Group of Companies Rawathawatte No: 481 Galle Rd Moratuwa 10400,2026-04-28,10:06:09,295.94,0,N/Surge,286.25,313.38,no surge,386.02,0,N/Surge,392.50,No Discount,no surge,542.06,0,N/Surge,475.95,No Discount,no surge,910.07,0,N/Surge,661.10,No Discount,no surge,,0,N/Surge,225.97,322.81,no surge,,0,N/Surge,516.62,No Discount,no surge,628.85,0,N/Surge,,No Discount,no surge
6,Nawaloka Medical Mount Lavinia,LOLC Finance PLC Moratuwa 256 Galle Rd Moratuwa 10400,2026-04-28,10:07:21,350.38,0,N/Surge,334.45,No Discount,no surge,448.02,0,N/Surge,451.13,No Discount,no surge,599.71,0,N/Surge,526.58,No Discount,no surge,1048.06,0,N/Surge,755.49,No Discount,no surge,,0,N/Surge,241.88,341.88,no surge,,0,N/Surge,609.50,No Discount,no surge,730.28,0,N/Surge,,No Discount,no surge
7,Nawaloka Medical Mount Lavinia,Pranak Pharmacy 127 NEW A2 Moratuwa 10400,2026-04-28,10:08:34,402.11,0,N/Surge,378.55,No Discount,no surge,503.03,0,N/Surge,514.93,No Discount,no surge,662.99,0,N/Surge,577.86,No Discount,no surge,1199.55,0,N/Surge,849.76,No Discount,no surge,,0,N/Surge,289.79,389.79,no surge,,0,N/Surge,689.44,No Discount,no surge,841.6,0,N/Surge,,No Discount,no surge
8,Nawaloka Medical Mount Lavinia,New Upali Auto Electricals Moratuwa 10400,2026-04-28,10:09:46,455.88,0,N/Surge,426.73,No Discount,no surge,571.8,0,N/Surge,574.58,No Discount,no surge,749.03,0,N/Surge,631.69,No Discount,no surge,1353.48,0,N/Surge,949.66,No Discount,no surge,,0,N/Surge,345.15,445.15,no surge,,0,N/Surge,788.95,No Discount,no surge,954.46,0,N/Surge,,No Discount,no surge
9,Nawaloka Medical Mount Lavinia,Discount Divans 51 5th Lane Koralawella Moratuwa Colombo 10400,2026-04-28,10:10:57,516.69,0,N/Surge,509.86,No Discount,no surge,630.93,0,N/Surge,647.65,No Discount,no surge,823.87,0,N/Surge,693.16,No Discount,no surge,1509.94,0,N/Surge,"1,064.13",No Discount,no surge,,0,N/Surge,430.53,530.53,no surge,,0,N/Surge,893.52,No Discount,no surge,1052.84,0,N/Surge,,No Discount,no surge
10,Nawaloka Medical Mount Lavinia,Nimal Furniture House 70/4 Moses Ln Moratuwa,2026-04-28,10:12:09,618.14,0,N/Surge,565.74,No Discount,no surge,748.7,0,N/Surge,697.78,766.56,no surge,1023.34,0,N/Surge,734.95,No Discount,no surge,1278.49,0,N/Surge,"1,136.06",No Discount,no surge,,0,N/Surge,491.00,591.00,no surge,,0,N/Surge,"1,071.09",No Discount,no surge,1111.76,0,N/Surge,,No Discount,no surge
11,Nawaloka Medical Mount Lavinia,M Craft Handcraft Designers Sunanda Eliya Rd Moratuwa,2026-04-28,10:13:23,656.62,0,N/Surge,630.71,No Discount,no surge,765.92,0,N/Surge,744.56,818.02,no surge,993.12,0,N/Surge,778.31,No Discount,no surge,1836.99,0,N/Surge,"1,215.95",No Discount,no surge,,0,N/Surge,549.34,649.34,no surge,,0,N/Surge,"1,125.42",No Discount,no surge,1284.97,0,N/Surge,,No Discount,no surge
12,Nawaloka Medical Mount Lavinia,SD Sticker Galle Road Moratuwa,2026-04-28,10:14:36,725.73,0,N/Surge,704.06,No Discount,no surge,832.11,0,N/Surge,806.23,885.85,no surge,1076.3,0,N/Surge,831.30,No Discount,no surge,1984.44,0,N/Surge,"1,314.24",No Discount,no surge,,0,N/Surge,625.47,725.47,no surge,,0,N/Surge,"1,235.03",No Discount,no surge,1398.89,0,N/Surge,,No Discount,no surge
13,Nawaloka Medical Mount Lavinia,Zuhriya(Lawyer) 29 Govipola Rd Panadura,2026-04-28,10:15:48,796.05,0,N/Surge,776.70,No Discount,no surge,899.86,0,N/Surge,899.89,988.88,no surge,1174.08,0,N/Surge,895.82,985.40,no surge,2144.17,0,N/Surge,"1,431.90","1,575.09",no surge,,0,N/Surge,700.89,800.89,no surge,,0,N/Surge,"1,365.78",No Discount,no surge,1519.71,0,N/Surge,,No Discount,no surge
14,Nawaloka Medical Mount Lavinia,Barista Kottawa 292 1 High Level Rd Pannipitiya 10230,2026-04-28,10:17:06,861.46,0,N/Surge,842.37,No Discount,no surge,969.26,0,N/Surge,972.26,"1,068.49",no surge,1264.56,0,N/Surge,962.18,No Discount,no surge,2291.23,0,N/Surge,"1,560.77",No Discount,no surge,,0,N/Surge,787.69,887.69,no surge,,0,N/Surge,"1,486.34",No Discount,no surge,1631.32,0,N/Surge,,No Discount,no surge
15,Nawaloka Medical Mount Lavinia,The Litro Gas - Kodithuwakku Pannipitiya,2026-04-28,10:18:23,932.82,0,N/Surge,910.83,No Discount,no surge,1044.91,0,N/Surge,"1,028.78",No Discount,no surge,1481.73,0,Surge,"1,015.08",No Discount,no surge,2446.87,0,N/Surge,"1,662.67",No Discount,no surge,,0,N/Surge,857.41,957.41,no surge,,0,N/Surge,"1,435.60",No Discount,no surge,1750.65,0,N/Surge,,No Discount,no surge
1,Cargills Food City - Kothalawala No. 314/3 316/A 316 New Kandy Rd Colombo,Timber Gallery - Kaduwela No 178/A New Kandy Rd Kaduwela 10640,2026-04-28,10:19:35,154.75,0,N/Surge,796.08,No Discount,no surge,289.92,0,N/Surge,743.97,No Discount,no surge,406.46,0,N/Surge,919.39,No Discount,no surge,631.58,0,N/Surge,"1,352.77",No Discount,no surge,,0,N/Surge,707.17,807.17,no surge,,0,N/Surge,"1,049.58",No Discount,no surge,502.3,0,N/Surge,,No Discount,no surge
2,Cargills Food City - Kothalawala No. 314/3 316/A 316 New Kandy Rd Colombo,Ceylon Panacea International Pvt Ltd 1/7 No. 322 School Lane Kaduwela,2026-04-28,10:20:46,156.98,0,N/Surge,163.00,No Discount,no surge,290.65,0,N/Surge,300.00,No Discount,no surge,410.81,0,N/Surge,352.50,No Discount,no surge,643.99,0,N/Surge,583.97,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,508.92,0,N/Surge,,No Discount,no surge
