Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,DM Printers Maharagama 155 highleval rd Colombo - Batticaloa Hwy Maharagama,2026-04-28,00:01:13,158.7,0,N/Surge,160.00,No Discount,no surge,279.86,0,N/Surge,320.00,No Discount,no surge,390.14,0,N/Surge,399.71,No Discount,no surge,648.66,0,N/Surge,584.51,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,546.81,0,N/Surge,,No Discount,no surge
2,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,CIB Online Store 345 1 High Level Rd Maharagama 10280,2026-04-28,00:02:24,159.21,0,N/Surge,160.00,No Discount,no surge,280.48,0,N/Surge,320.00,No Discount,no surge,393.82,0,N/Surge,399.71,No Discount,no surge,659.16,0,N/Surge,666.38,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,552.41,0,N/Surge,,No Discount,no surge
3,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Api Singhe Motors (Pvt) Ltd No 640 A Wijerama Gangodawila Nugegoda,2026-04-28,00:03:39,205.33,0,N/Surge,208.02,No Discount,no surge,295.68,0,N/Surge,320.00,No Discount,no surge,463.66,0,N/Surge,485.86,No Discount,no surge,827.38,0,N/Surge,820.22,No Discount,no surge,,0,N/Surge,134.53,192.19,no surge,,0,N/Surge,328.77,No Discount,no surge,558.31,0,N/Surge,,No Discount,no surge
4,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Gangodawila Girl's Child Development Center,2026-04-28,00:04:53,256.69,0,N/Surge,266.27,No Discount,no surge,386.78,0,N/Surge,400.80,No Discount,no surge,554.14,0,N/Surge,599.98,No Discount,no surge,988.17,0,N/Surge,"1,014.17",No Discount,no surge,,0,N/Surge,176.72,252.46,no surge,,0,N/Surge,426.13,No Discount,no surge,670.25,0,N/Surge,,No Discount,no surge
5,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Jeewa Plastic (Pvt) Ltd 224 High Level Rd Colombo,2026-04-28,00:06:07,307.57,0,N/Surge,301.55,No Discount,no surge,461.15,0,N/Surge,455.84,No Discount,no surge,641.78,0,N/Surge,664.45,No Discount,no surge,1145.56,0,N/Surge,"1,123.94",No Discount,no surge,,0,N/Surge,202.31,289.02,no surge,,0,N/Surge,499.69,No Discount,no surge,758.55,0,N/Surge,,No Discount,no surge
6,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Java Lounge 126/B High Level Rd Nugegoda 10250,2026-04-28,00:07:21,365.98,0,N/Surge,352.51,No Discount,no surge,533.41,0,N/Surge,538.71,No Discount,no surge,728.39,0,N/Surge,760.07,No Discount,no surge,1302.85,0,N/Surge,"1,286.55",No Discount,no surge,,0,N/Surge,240.89,340.89,no surge,,0,N/Surge,590.04,No Discount,no surge,875.82,0,N/Surge,,No Discount,no surge
7,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Felicity Solar Technology (PVT) Ltd 188a High Level Rd Colombo 00600,2026-04-28,00:08:38,426.62,0,N/Surge,406.02,No Discount,no surge,608.43,0,N/Surge,618.49,No Discount,no surge,817.4,0,N/Surge,849.86,No Discount,no surge,1463.3,0,N/Surge,"1,439.03",No Discount,no surge,,0,N/Surge,289.79,389.79,no surge,,0,N/Surge,675.44,No Discount,no surge,996.14,0,N/Surge,,No Discount,no surge
8,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Nanomedix (Pvt) Ltd. 112/1 H. Sri Nissanka Mw Maya Ave Colombo 00600,2026-04-28,00:09:55,486.64,0,N/Surge,458.19,No Discount,no surge,702.77,0,N/Surge,699.35,No Discount,no surge,905.27,0,N/Surge,945.83,No Discount,no surge,1621.45,0,N/Surge,"1,600.60",No Discount,no surge,,0,N/Surge,343.01,443.01,no surge,,0,N/Surge,768.56,No Discount,no surge,1114.89,0,N/Surge,,No Discount,no surge
9,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,PetsVcare Animal Hospitals 506/7 Elvitigala Mawatha Colombo 5,2026-04-28,00:11:14,549.94,0,N/Surge,530.57,No Discount,no surge,788.13,0,N/Surge,788.21,No Discount,no surge,994.6,0,N/Surge,"1,041.54",No Discount,no surge,1781.88,0,N/Surge,"1,762.71",No Discount,no surge,,0,N/Surge,416.30,516.30,no surge,,0,N/Surge,861.45,No Discount,no surge,1235.54,0,N/Surge,,No Discount,no surge
10,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Bank of Ceylon ATM Victoria Pl Colombo 00800,2026-04-28,00:12:29,613.46,0,N/Surge,599.99,No Discount,no surge,856.77,0,N/Surge,861.47,No Discount,no surge,1082.39,0,N/Surge,"1,125.98",No Discount,no surge,1940.71,0,N/Surge,"1,896.82",No Discount,no surge,,0,N/Surge,483.18,583.18,no surge,,0,N/Surge,942.16,No Discount,no surge,1354.31,0,N/Surge,,No Discount,no surge
