Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Sudu Putha Hardware Piliyandala,2026-04-27,22:01:14,150.74,0,N/Surge,150.00,No Discount,no surge,279.91,0,N/Surge,320.00,No Discount,no surge,335.89,0,N/Surge,286.83,No Discount,no surge,542.73,0,N/Surge,431.16,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,462.21,0,N/Surge,,No Discount,no surge
2,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Deniya Car Rental 335/3 Moratuwa Road Deniya Rd Piliyandala 10300,2026-04-27,22:02:37,151.32,0,N/Surge,150.00,No Discount,no surge,280.62,0,N/Surge,320.00,No Discount,no surge,386.68,0,N/Surge,352.53,No Discount,no surge,585.21,0,N/Surge,556.56,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,468.65,0,N/Surge,,No Discount,no surge
3,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Ranuth Furniture Moratuwa 10400,2026-04-27,22:03:49,190.7,0,N/Surge,196.97,No Discount,no surge,298.15,0,N/Surge,320.06,No Discount,no surge,520.92,0,N/Surge,466.64,No Discount,no surge,763.89,0,N/Surge,738.59,No Discount,no surge,,0,N/Surge,139.72,199.60,no surge,,0,N/Surge,345.24,No Discount,no surge,577.69,0,N/Surge,,No Discount,no surge
4,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Enex Fabric Shop 4 Sri Premaratna Mawatha Moratuwa 10400,2026-04-27,22:05:06,230.34,0,N/Surge,236.99,No Discount,no surge,387.87,0,N/Surge,407.76,No Discount,no surge,623.08,0,N/Surge,566.36,No Discount,no surge,931.73,0,N/Surge,895.62,No Discount,no surge,,0,N/Surge,173.61,248.02,no surge,,0,N/Surge,436.20,No Discount,no surge,707.97,0,N/Surge,,No Discount,no surge
5,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Singhe Furniture Work Shop 8 2 Upper Indibedda Rd Moratuwa 10400,2026-04-27,22:06:19,280.33,0,N/Surge,282.77,No Discount,no surge,463.65,0,N/Surge,493.88,No Discount,no surge,730.67,0,N/Surge,664.67,No Discount,no surge,1108.15,0,N/Surge,"1,051.54",No Discount,no surge,,0,N/Surge,208.88,298.40,no surge,,0,N/Surge,524.74,No Discount,no surge,824.63,0,N/Surge,,No Discount,no surge
6,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Cure Care Pharmacy 159/C 2 Polgasowita 10320,2026-04-27,22:07:34,332.48,0,N/Surge,316.20,No Discount,no surge,539.13,0,N/Surge,542.37,No Discount,no surge,836.43,0,N/Surge,735.52,No Discount,no surge,1259.33,0,N/Surge,"1,165.63",No Discount,no surge,,0,N/Surge,236.44,336.44,no surge,,0,N/Surge,576.61,No Discount,no surge,938.49,0,N/Surge,,No Discount,no surge
7,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Jithuli Traders Colombo - Horana Rd Polgasowita,2026-04-27,22:08:47,392.22,0,N/Surge,364.60,No Discount,no surge,617.62,0,N/Surge,620.29,No Discount,no surge,944.83,0,N/Surge,830.05,No Discount,no surge,1417.59,0,N/Surge,"1,316.89",No Discount,no surge,,0,N/Surge,287.32,387.32,no surge,,0,N/Surge,675.92,No Discount,no surge,1055.92,0,N/Surge,,No Discount,no surge
8,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Richi (singer) 251 Colombo - Horana Rd Polgasowita,2026-04-27,22:10:01,449.95,0,N/Surge,410.36,No Discount,no surge,710.77,0,N/Surge,701.10,No Discount,no surge,1048.76,0,N/Surge,925.70,No Discount,no surge,1576.61,0,N/Surge,"1,468.20",No Discount,no surge,,0,N/Surge,339.19,439.19,no surge,,0,N/Surge,764.60,No Discount,no surge,1169.03,0,N/Surge,,No Discount,no surge
9,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,ITCS - Institute of Training & Care Services 296/2/4 High Level Rd Pannipitiya 10230,2026-04-27,22:11:13,506.65,0,N/Surge,474.21,No Discount,no surge,792.98,0,N/Surge,797.14,No Discount,no surge,1154.9,0,N/Surge,"1,028.46",No Discount,no surge,1743.27,0,N/Surge,"1,633.25",No Discount,no surge,,0,N/Surge,405.62,505.62,no surge,,0,N/Surge,853.15,No Discount,no surge,1294.84,0,N/Surge,,No Discount,no surge
10,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Luxe Highway Residencies by Home Lands Skyline 320 High Level Rd Pannipitiya 10230,2026-04-27,22:12:25,562.27,0,N/Surge,543.75,No Discount,no surge,859.36,0,N/Surge,870.74,No Discount,no surge,1255.35,0,N/Surge,"1,120.86",No Discount,no surge,1897.79,0,N/Surge,"1,770.07",No Discount,no surge,,0,N/Surge,477.48,577.48,no surge,,0,N/Surge,939.17,No Discount,no surge,1413.08,0,N/Surge,,No Discount,no surge
