Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,One Galle Face Mall 1A Centre Road Colombo 00200,The Emperor 75A Galle Rd Colombo 00300,2026-04-24,06:01:07,150.76,0,N/Surge,75.00,150.00,no surge,307.93,0,N/Surge,150.00,300.00,no surge,486.55,0,N/Surge,232.67,465.34,no surge,686.83,0,N/Surge,443.05,693.05,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,0,no surge,600.44,0,N/Surge,,0,no surge
2,One Galle Face Mall 1A Centre Road Colombo 00200,Liberty Plaza 300 Srimath Anagarika Dharmapala Mawatha Colombo 00300,2026-04-24,06:02:09,151.21,0,N/Surge,79.00,158.00,no surge,308.48,0,N/Surge,150.00,300.00,no surge,489.85,0,N/Surge,272.33,522.33,no surge,696.24,0,N/Surge,443.05,693.05,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,0,no surge,605.45,0,N/Surge,,0,no surge
3,One Galle Face Mall 1A Centre Road Colombo 00200,Roar Global 367 R. A. De Mel Mawatha Colombo 00300,2026-04-24,06:03:12,190.36,0,N/Surge,96.16,192.32,no surge,309.94,0,N/Surge,150.00,300.00,no surge,516.92,0,N/Surge,341.15,591.15,no surge,704.81,0,N/Surge,443.05,693.05,no surge,,0,N/Surge,136.61,195.16,no surge,,0,N/Surge,334.64,0,no surge,610.86,0,N/Surge,,0,no surge
4,One Galle Face Mall 1A Centre Road Colombo 00200,Horton Regency Apartments 33 Horton Pl Colombo 00700,2026-04-24,06:04:17,230.32,0,N/Surge,116.22,232.44,no surge,360.84,0,N/Surge,177.69,355.39,no surge,595.94,0,N/Surge,417.51,667.51,no surge,781.31,0,N/Surge,576.23,826.23,no surge,,0,N/Surge,170.50,243.57,no surge,,0,N/Surge,421.85,0,no surge,692.75,0,N/Surge,,0,no surge
5,One Galle Face Mall 1A Centre Road Colombo 00200,Cinnamon Nest Apartments 5 Dudley Senanayake Mawatha Colombo 00800,2026-04-24,06:05:21,279.36,0,N/Surge,138.22,276.44,no surge,442.17,0,N/Surge,215.36,430.72,no surge,673.64,0,N/Surge,493.86,743.86,no surge,905.76,0,N/Surge,715.37,965.37,no surge,,0,N/Surge,205.08,292.97,no surge,,0,N/Surge,512.60,0,no surge,779.72,0,N/Surge,,0,no surge
6,One Galle Face Mall 1A Centre Road Colombo 00200,Marine Fuel Center Marine Dr Colombo,2026-04-24,06:06:23,333.13,0,N/Surge,164.92,329.84,no surge,512.47,0,N/Surge,252.07,502.07,no surge,753.06,0,N/Surge,578.39,828.39,no surge,1030.31,0,N/Surge,868.11,"1,118.11",no surge,,0,N/Surge,253.73,353.73,no surge,,0,N/Surge,618.39,0,no surge,881.41,0,N/Surge,,0,no surge
7,One Galle Face Mall 1A Centre Road Colombo 00200,Marine Seafood 55 Collingwood Pl Colombo 00600,2026-04-24,06:07:27,388.8,0,N/Surge,185.16,370.32,no surge,577.44,0,N/Surge,306.15,556.15,no surge,826.65,0,N/Surge,640.63,890.63,no surge,1148.27,0,N/Surge,981.77,"1,231.77",no surge,,0,N/Surge,294.24,394.24,no surge,,0,N/Surge,684.95,0,no surge,975.84,0,N/Surge,,0,no surge
8,One Galle Face Mall 1A Centre Road Colombo 00200,Jagota Agro Products 467 Sri Jayawardenepura Mawatha Sri Jayawardenepura Kotte 10107,2026-04-24,06:08:27,445.01,0,N/Surge,141.21,388.06,no surge,654.08,0,N/Surge,217.65,477.84,no surge,904.23,0,N/Surge,502.66,752.66,no surge,1310.13,0,N/Surge,731.17,981.17,no surge,,0,N/Surge,315.00,415.00,no surge,,0,N/Surge,573.00,0,no surge,1076.45,0,N/Surge,,0,no surge
9,One Galle Face Mall 1A Centre Road Colombo 00200,Infinity Garden - Diyatha Uyana Mies Rohe Fountain Sri Jayawardenepura Kotte,2026-04-24,06:09:26,502.01,0,N/Surge,241.92,483.85,no surge,718.47,0,N/Surge,460.62,710.62,no surge,981.07,0,N/Surge,797.20,"1,047.20",no surge,1462.72,0,N/Surge,"1,254.68","1,504.68",no surge,,0,N/Surge,414.87,514.87,no surge,,0,N/Surge,842.24,0,no surge,1185.36,0,N/Surge,,0,no surge
10,One Galle Face Mall 1A Centre Road Colombo 00200,Janaka Record Bar Main St Battaramulla,2026-04-24,06:10:30,558.78,0,N/Surge,302.70,552.70,no surge,793.12,0,N/Surge,530.87,780.87,no surge,1052.93,0,N/Surge,867.83,"1,117.83",no surge,1615.71,0,N/Surge,"1,367.86","1,617.86",no surge,,0,N/Surge,486.02,586.02,no surge,,0,N/Surge,941.58,0,no surge,1294.22,0,N/Surge,,0,no surge
11,One Galle Face Mall 1A Centre Road Colombo 00200,MAS TS car park Thalangama Bus Depot Rd Battaramulla,2026-04-24,06:11:33,627.19,0,N/Surge,370.87,620.87,no surge,867.66,0,N/Surge,605.93,855.93,no surge,1123.93,0,N/Surge,944.09,"1,194.09",no surge,1766.29,0,N/Surge,"1,504.80","1,754.80",no surge,,0,N/Surge,556.46,656.46,no surge,,0,N/Surge,"1,029.97",0,no surge,1401.8,0,N/Surge,,0,no surge
12,One Galle Face Mall 1A Centre Road Colombo 00200,Priyankara Motors Sri Jayawardenepura Kotte,2026-04-24,06:12:36,695.45,0,N/Surge,439.04,689.04,no surge,943.98,0,N/Surge,674.22,924.22,no surge,1193.83,0,N/Surge,"1,016.39","1,266.39",no surge,1913.71,0,N/Surge,"1,633.04","1,883.04",no surge,,0,N/Surge,628.32,728.32,no surge,,0,N/Surge,"1,121.83",0,no surge,1507.68,0,N/Surge,,0,no surge
13,One Galle Face Mall 1A Centre Road Colombo 00200,Muragala Head Office New Kotte - Bope Rd Sri Jayawardenepura Kotte 10100,2026-04-24,06:13:39,763.98,0,N/Surge,508.58,758.58,no surge,1020.63,0,N/Surge,755.00,"1,005.00",no surge,1265.69,0,N/Surge,"1,097.06","1,347.06",no surge,2066.46,0,N/Surge,"1,776.11","2,026.11",no surge,,0,N/Surge,700.89,800.89,no surge,,0,N/Surge,"1,209.03",0,no surge,1616.54,0,N/Surge,,0,no surge
14,One Galle Face Mall 1A Centre Road Colombo 00200,Sigiri warehouse (A&E) Sedawatta - Ambatale Rd Welivita,2026-04-24,06:14:43,831.86,0,N/Surge,600.84,850.84,no surge,1096.78,0,N/Surge,826.90,"1,076.90",no surge,1337.11,0,N/Surge,"1,188.10","1,438.10",no surge,2206.74,0,N/Surge,"1,940.83","2,190.83",no surge,,0,N/Surge,785.55,885.55,no surge,,0,N/Surge,"1,289.50",0,no surge,1724.68,0,N/Surge,,0,no surge
15,One Galle Face Mall 1A Centre Road Colombo 00200,Scan Lanka Trading Co. Pvt Ltd Head Office and Main stores,2026-04-24,06:15:47,901.79,0,N/Surge,651.11,901.11,no surge,1197.71,0,N/Surge,916.74,"1,166.74",no surge,1415.75,0,N/Surge,"1,261.30","1,511.30",no surge,2351.25,0,N/Surge,"2,071.72","2,321.72",no surge,,0,N/Surge,846.74,946.74,no surge,,0,N/Surge,"1,392.05",0,no surge,1836.09,0,N/Surge,,0,no surge
16,One Galle Face Mall 1A Centre Road Colombo 00200,Vegetable grocery Malabe,2026-04-24,06:16:49,969.61,0,N/Surge,652.49,902.49,no surge,1271.58,0,N/Surge,914.07,"1,164.07",no surge,1491.81,0,N/Surge,"1,261.94","1,511.94",no surge,2490.36,0,N/Surge,"2,074.89","2,324.89",no surge,,0,N/Surge,844.61,944.61,no surge,,0,N/Surge,"1,377.41",0,no surge,1943.61,0,N/Surge,,0,no surge
17,One Galle Face Mall 1A Centre Road Colombo 00200,Capital heaven heights Residencies- Girls Hostel 161/21 Kiribathgalawatta Road Malabe 10115,2026-04-24,06:17:50,1038.44,0,N/Surge,789.51,"1,039.51",no surge,1346.51,0,N/Surge,"1,056.48","1,306.48",no surge,1573.75,0,N/Surge,"1,246.83","1,496.83",no surge,2624.91,0,N/Surge,"2,088.57","2,338.57",no surge,,0,N/Surge,987.61,"1,087.61",no surge,,0,N/Surge,"1,550.59",0,no surge,2049.37,0,N/Surge,,0,no surge
18,One Galle Face Mall 1A Centre Road Colombo 00200,Nails By Thesa Kaduwela Rd Kaduwela,2026-04-24,06:18:52,1108.48,0,N/Surge,860.43,"1,110.43",no surge,1422.82,0,N/Surge,"1,152.19","1,402.19",no surge,1660.68,0,N/Surge,"1,497.26","1,747.26",no surge,2771.69,0,N/Surge,"2,493.35","2,743.35",no surge,,0,N/Surge,"1,064.45","1,164.45",no surge,,0,N/Surge,"1,665.59",0,no surge,2161.94,0,N/Surge,,0,no surge
19,One Galle Face Mall 1A Centre Road Colombo 00200,Wood Park Enterprises 175/3B Borella Road Colombo,2026-04-24,06:19:52,278.21,0,N/Surge,929.97,"1,179.97",no surge,440.49,0,N/Surge,"1,211.37","1,461.37",no surge,670.89,0,N/Surge,"1,382.31","1,632.31",no surge,899.86,0,N/Surge,"2,331.70","2,581.70",no surge,,0,N/Surge,"1,135.60","1,235.60",no surge,,0,N/Surge,"1,752.00",0,no surge,776.04,0,N/Surge,,0,no surge
