Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Jayantha Furnitures Pvt Ltd No.105/C Ja Ela Rd Gampaha,2026-04-25,09:01:17,154.77,0,N/Surge,75.00,150.00,no surge,280.95,0,N/Surge,150.00,300.00,no surge,350.64,0,N/Surge,163.58,327.16,no surge,583.08,0,N/Surge,266.44,516.44,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,461.57,0,N/Surge,,No Discount,no surge
2,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Pathirana stores 3XVH+H9M Gampaha,2026-04-25,09:02:30,155.31,0,N/Surge,75.00,150.00,no surge,281.6,0,N/Surge,150.00,300.00,no surge,354.55,0,N/Surge,189.31,378.62,no surge,594.24,0,N/Surge,266.44,516.44,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,467.52,0,N/Surge,,No Discount,no surge
3,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,MCC survey department 23 Ja Ela-Ekala-Gampaha-Yakkala Hwy,2026-04-25,09:03:40,199.06,0,N/Surge,98.36,196.72,no surge,282.82,0,N/Surge,150.00,300.00,no surge,359.24,0,N/Surge,230.57,461.15,no surge,606.3,0,N/Surge,267.55,517.55,no surge,,0,N/Surge,140.07,200.10,no surge,,0,N/Surge,351.42,No Discount,no surge,474.17,0,N/Surge,,No Discount,no surge
4,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Badulu Hotel Ja Ela-Ekala-Gampaha-Yakkala Hwy,2026-04-25,09:04:53,238.37,0,N/Surge,116.88,233.76,no surge,300.9,0,N/Surge,159.16,318.32,no surge,383.29,0,N/Surge,269.63,519.63,no surge,632.31,0,N/Surge,347.55,597.55,no surge,,0,N/Surge,171.53,245.05,no surge,,0,N/Surge,431.08,No Discount,no surge,495.28,0,N/Surge,,No Discount,no surge
5,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Janaka Enterprises Makewite No.140/EMegoda thammithaMakewite Ja-Ela,2026-04-25,09:06:04,278.92,0,N/Surge,186.04,372.08,no surge,361.58,0,N/Surge,249.71,499.42,no surge,463.32,0,N/Surge,464.69,714.69,no surge,659.81,0,N/Surge,617.70,867.70,no surge,,0,N/Surge,295.72,395.72,no surge,,0,N/Surge,694.43,No Discount,no surge,543.41,0,N/Surge,,No Discount,no surge
6,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Siyane Arcade Minuwangoda Road Udugampola 11000,2026-04-25,09:07:17,328.29,0,N/Surge,163.38,326.76,no surge,422.03,0,N/Surge,220.77,441.54,no surge,549.0,0,N/Surge,398.81,648.81,no surge,761.47,0,N/Surge,525.91,775.91,no surge,,0,N/Surge,242.37,342.37,no surge,,0,N/Surge,592.43,No Discount,no surge,634.5,0,N/Surge,,No Discount,no surge
7,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Global Auto Mart minuwangoda road,2026-04-25,09:08:27,375.86,0,N/Surge,184.28,368.56,no surge,480.28,0,N/Surge,246.01,492.03,no surge,642.2,0,N/Surge,456.95,706.95,no surge,862.87,0,N/Surge,606.40,856.40,no surge,,0,N/Surge,290.78,390.78,no surge,,0,N/Surge,683.56,No Discount,no surge,728.77,0,N/Surge,,No Discount,no surge
8,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,CRS ENGINEERING PRIVATE LIMITED,2026-04-25,09:09:38,431.06,0,N/Surge,206.72,413.44,no surge,545.62,0,N/Surge,308.02,558.02,no surge,736.46,0,N/Surge,523.60,773.60,no surge,965.95,0,N/Surge,697.21,947.21,no surge,,0,N/Surge,340.88,440.88,no surge,,0,N/Surge,775.50,No Discount,no surge,822.73,0,N/Surge,,No Discount,no surge
9,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Godalla Takeaway Gampaha,2026-04-25,09:10:50,489.8,0,N/Surge,244.33,488.67,no surge,612.32,0,N/Surge,371.13,621.13,no surge,836.19,0,N/Surge,596.12,846.12,no surge,1074.76,0,N/Surge,797.52,"1,047.52",no surge,,0,N/Surge,423.41,523.41,no surge,,0,N/Surge,873.07,No Discount,no surge,922.03,0,N/Surge,,No Discount,no surge
10,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Busy Bees Montessori International (AMI) preschool Ekala 3WX7+JM7 Wimalajothi Nahimi Mawatha Ja-Ela,2026-04-25,09:11:58,618.22,0,N/Surge,304.08,554.08,no surge,748.8,0,N/Surge,429.72,679.72,no surge,1023.93,0,N/Surge,659.79,909.79,no surge,1280.16,0,N/Surge,878.17,"1,128.17",no surge,,0,N/Surge,493.85,593.85,no surge,,0,N/Surge,961.88,No Discount,no surge,1112.65,0,N/Surge,,No Discount,no surge
